act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3608
 від 09.01.18","м. Кропивницький вул. Генерала Родимцева, 94 (за будинком)",48.4972581,32.3071787,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 15-20 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Генерала Родимцева, 94"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 3)",48.494193599999996,32.2187922,КП «ЖЕО № 4» Міської ради міста Кропивницького,тополя діам. 30-35 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.494193599999996,32.2187922,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня діам. 20-25 см,5,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (з боку під'їзду № 6)",48.494193599999996,32.2187922,КП «ЖЕО № 4» Міської ради міста Кропивницького,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Пацаєва, 12, корп. 2",48.4955957,32.21753,КП «ЖЕО № 4» Міської ради міста Кропивницького,акація діам. 65-70 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Пацаєва, 12, корп. 2"
"№ 3610
 від 09.01.18",м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної,48.511613200000006,32.2683835,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної
"№ 3611
 від 09.01.18","м. Кропивницький вул. Миколи Левитського (між будинками
 № 1-а та № 1/49)",48.50793300000001,32.262316999999996,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 75-80 см,1,№ 933/03-01-06 від 06.04.18,,0,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Миколи Левитського
"№ 3611
 від 09.01.18",м. Кропивницький просп. Винниченка (уздовж дороги між будинками № 32 та кафе «Старий круг»),48.50793300000001,32.262316999999996,КП «Благоустрій» Міської ради міста Кропивницького»,тополя діам. 65-70 см,1,№ 933/03-01-06 від 06.04.18,,0,№ 933/03-01-06,06.04.18,м. Кропивницький просп. Винниченка
"№ 3612
 від 09.01.18",м. Кропивницький вул. Михайлівська (біля обласного центру планування сім'ї та репродукції людини),48.50793300000001,32.262316999999996,КП «Благоустрій» Міської ради міста Кропивницького»,берест діам. 60-65 см,1,№ 345-в від 20.01.18,"№ 11, 2018",1,№ 345-в,20.01.18,м. Кропивницький вул. Михайлівська
"№ 3613
 від 09.01.18",м. Кропивницький вул. Петропавлівська (уздовж дороги біля будинку № 5),48.5047124,32.2804122,гр. Сирота О.М.,акація діам. 70-75 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Петропавлівська
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.529222499999996,32.2454928,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,12,,,0,,,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.529222499999996,32.2454928,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,14,,,0,,,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.529222499999996,32.2454928,ГУ ЖКГ Міської ради міста Кропивницького,верба плакуча діам. 50-60 см,3,,,0,,,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.529222499999996,32.2454928,ГУ ЖКГ Міської ради міста Кропивницького,тополя пірамідальна діам. 60-70 см,3,,,0,,,м. Кропивницький вздовж русла річки Інгул
"№ 3615
 від 09.01.18","м. Кропивницький вул. Вокзальна, 39-ф",48.5165569,32.2524538,ПП «Босфор-Люкс»,тополя діам. 70-75 см,1,,,0,,,"м. Кропивницький вул. Вокзальна, 39-ф"
"№ 3616
 від 18.01.18","м. Кропивницький вул. Юрія Краснокутського, 1-а",48.539547,32.2614431,КП «ЖЕО № 1» Міської ради міста Кропивницького,клен діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Юрія Краснокутського, 1-а"
"№ 3616
 від 18.01.18","м. Кропивницький вул. Юрія Краснокутського, 1-а",48.539547,32.2614431,КП «ЖЕО № 1» Міської ради міста Кропивницького,клен діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Юрія Краснокутського, 1-а"
"№ 3617
 від 18.01.18","м. Кропивницький вул. Будівельників, 1-а",48.561578600000004,32.2417417,КП «ЖЕО № 1» Міської ради міста Кропивницького,сосна діам. 30-35 см,1,№ 345-в від 20.01.18,"№ 11, 2018",1,№ 345-в,20.01.18,"м. Кропивницький вул. Будівельників, 1-а"
"№ 3618
 від 18.01.18","м. Кропивницький вул. Варшавська, 2-б (між під. № 5 та № 6)",48.50793300000001,32.262316999999996,КП «ЖЕО № 1» Міської ради міста Кропивницького,горіх діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Варшавська, 2-б"
"№ 3619
 від 18.01.18",м. Кропивницький вул. Декабристів (у дворі будинків № 23-а та 23-б),48.51105459999999,32.2628584,КП «ЖЕО № 1» Міської ради міста Кропивницького,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 29, 2018",1,№ 818/03-01-06,26.03.18,м. Кропивницький вул. Декабристів
"№ 3620
 від 18.01.18","м. Кропивницький вул. Кропивницького, 80 (позаду під'їзду № 1)",48.50793300000001,32.262316999999996,КП «ЖЕО № 2» Міської ради міста Кропивницького,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Кропивницького, 80"
"№ 3621
 від 18.01.18","м. Кропивницький вул. Євгена Тельнова, 2, корп. 2 (навпроти під'їзду № 3)",48.501893700000004,32.234619,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 20-30 см,8,,,0,,,"м. Кропивницький вул. Євгена Тельнова, 2, корп. 2"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999999,32.2226422,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999999,32.2226422,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 85-90 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999999,32.2226422,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999999,32.2234158,КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня діам. 10-15 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999999,32.2234158,КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня діам. 20-25 см,3,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999999,32.2234158,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 60-65 см,2,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3624
 від 18.01.18","м. Кропивницький вул. Бєляєва,7, корп. 3 (за будинком)",48.51033579999999,32.227513800000004,КП «ЖЕО № 3» Міської ради міста Кропивницького,береза діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Бєляєва,7, корп. 3"
"№ 3625
 від 18.01.18","м. Кропивницький вул. Олексія Волохова,9/1 (у дворі біля дитячого майданчика)",48.50793300000001,32.262316999999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 15-20 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Олексія Волохова,9/1"
"№ 3626
 від 18.01.18","м. Кропивницький просп. Перемоги, 14 (за будинком)",48.519877799999996,32.2514141,ОСББ «Перемоги 14-Ковалівка»,вишня діам. 10-15 см,7,,,0,,,"м. Кропивницький просп. Перемоги, 14"
"№ 3626
 від 18.01.18","м. Кропивницький просп. Перемоги, 14 (за будинком)",48.519877799999996,32.2514141,ОСББ «Перемоги 14-Ковалівка»,слива діам. 10-15 см,1,,,0,,,"м. Кропивницький просп. Перемоги, 14"
"№ 3627
 від 18.01.18","м. Кропивницький пров. Кінний, 3 (на території закладу)",48.50793300000001,32.262316999999996,ДНЗ № 73 «Червона квіточка»,груша діам. 15-20 см,1,,,0,,,"м. Кропивницький пров. Кінний, 3"
"№ 3627
 від 18.01.18","м. Кропивницький пров. Кінний, 3 (на території закладу)",48.50793300000001,32.262316999999996,ДНЗ № 73 «Червона квіточка»,абрикос діам. 25-30 см,1,,,0,,,"м. Кропивницький пров. Кінний, 3"
"№ 3627
 від 18.01.18","м. Кропивницький пров. Кінний, 3 (на території закладу)",48.50793300000001,32.262316999999996,ДНЗ № 73 «Червона квіточка»,тополя діам. 80-85 см,1,,,0,,,"м. Кропивницький пров. Кінний, 3"
"№ 3628
 від 18.01.18","м. Кропивницький вул. Романа Майстернюка, 7 (уздовж дороги)",48.50793300000001,32.262316999999996,гр. Фіцуліна В.Г.,горіх діам. 50-55 см,1,,,0,,,"м. Кропивницький вул. Романа Майстернюка, 7"
"№ 3629
 від 18.01.18","м. Кропивницький вул. Волкова, 26, корп. 1",48.4980467,32.22243889999999,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 45-50 см,2,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 26, корп. 1"
"№ 3630
 від 23.01.18","м. Кропивницький вул. Євгена Тельнова, 4 (з боку під. № 1)",48.50280720000001,32.232589600000004,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 25-30 см,1,,,0,,,"м. Кропивницький вул. Євгена Тельнова, 4"
"№ 3631
 від 23.01.18","м. Кропивницький вул. Гагаріна, 48/12",48.5096323,32.2787128,гр. Лобанова Л.А.,акація діам. 40-45 см,1,"№ 749-Л
 від 27.02.18",,0,"№ 749-Л
",27.02.18,"м. Кропивницький вул. Гагаріна, 48/12"
"№ 3632
 від 23.01.18","м. Кропивницький вул. Олега Ольжича (уздовж дороги біля буд. № 4),",48.525713700000004,32.276576399999996,КП «Благоустрій» МРМК»,клен діам. 70-75 см,1,,,0,,,м. Кропивницький вул. Олега Ольжича
"№ 3632
 від 23.01.18","м. Кропивницький вул. Олега Ольжича (уздовж дороги біля буд. № 4),",48.525713700000004,32.276576399999996,КП «Благоустрій» МРМК»,шовковиця діам. 35-40 см,1,,,0,,,м. Кропивницький вул. Олега Ольжича
"№ 3632
 від 23.01.18",м. Кропивницький (уздовж дороги біля ДНЗ № 54),48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 65-75 см,6,,,0,,,м. Кропивницький
"№ 3632
 від 23.01.18",м. Кропивницький (уздовж дороги біля ДНЗ № 54),48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,акація діам. 30-35 см,1,,,0,,,м. Кропивницький
"№ 3632
 від 23.01.18",м. Кропивницький (уздовж дороги біля ДНЗ № 54),48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 30-35 см,1,,,0,,,м. Кропивницький
"№ 3632
 від 23.01.18",м. Кропивницький на перехресті біля буд. № 38,48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 30-35 см,1,,,0,,,м. Кропивницький на перехресті біля буд. № 38
"№ 3633
 від 30.01.18","м. Кропивницький вул. Генерала Шумілова, 30",48.494352899999996,32.2670947,ЗОШ № 7,акація діам. 60-70 см,6,,,0,,,"м. Кропивницький вул. Генерала Шумілова, 30"
"№ 3633
 від 30.01.18","м. Кропивницький вул. Генерала Шумілова, 30",48.494352899999996,32.2670947,ЗОШ № 7,шовковиця діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Генерала Шумілова, 30"
"№ 3633
 від 30.01.18","м. Кропивницький вул. Генерала Шумілова, 30",48.494352899999996,32.2670947,ЗОШ № 7,шовковиця 3 діам. 20-30 см,1,,,0,,,"м. Кропивницький вул. Генерала Шумілова, 30"
"№ 3633
 від 30.01.18","м. Кропивницький вул. Генерала Шумілова, 30",48.494352899999996,32.2670947,ЗОШ № 7,шовковиця 2 діам. 20-30 см,1,,,0,,,"м. Кропивницький вул. Генерала Шумілова, 30"
"№ 3634
 від 30.01.18","м. Кропивницький між будинками по вул. Шатила, 3 та Вокзальною, 64",48.50793300000001,32.262316999999996,КП «Водоканал»,липа діам. 30-40 см,1,"№ 345-В
 від 30.01.18","№ 7, 2018",1,"№ 345-В
",30.01.18,"м. Кропивницький між будинками по вул. Шатила, 3 та Вокзальною, 64"
"№ 3635
 від 13.02.18",м. Кропивницький вул. Олександрійське шосе (біля вїзду до гаражного кооперативу),48.50793300000001,32.262316999999996,Голова гаражного кооперативу «Віраж» Водотика А.М.,дуб діам. 40-45 см,1,,,0,,,м. Кропивницький вул. Олександрійське шосе
"№ 3636
 від 13.02.18","м. Кропивницький вул. Добровольського, 3 (навпроти під'їзду № 3)",48.5349818,32.274716600000005,Голова гаражного кооперативу «Віраж» Водотика А.М.,клен діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 3"
"№ 3636
 від 13.02.18","м. Кропивницький вул. Добровольського, 3 (навпроти під'їзду № 3)",48.5349818,32.274716600000005,Голова гаражного кооперативу «Віраж» Водотика А.М.,яблуня діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 3"
"№ 3637
 від 13.02.18","м. Кропивницький вул. Шатила , 3 (біля в'їзду у двір)",48.50793300000001,32.262316999999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,клен діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 29, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Шатила , 3"
"№ 3638
 від 13.02.18",м. Кропивницький вул. Гоголя (уздовж дороги біля будинку № 63),48.50793300000001,32.262316999999996,ГО «Озеленення Кропивницький»,клен діам. 35-40 см,1,№ 402/03-01-06 від 23.02.18,,0,№ 402/03-01-06,23.02.18,м. Кропивницький вул. Гоголя
"№ 3639
 від 13.02.18","м. Кропивницький вул. Архангельська, 34 (у дворі будинку)",48.50923119999999,32.2760872,гр. Наконечна Н.В.,акація діам. 30-35 сс,1,№ 933/03-01-06 від 06.04.18,"№ 29, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Архангельська, 34"
"№ 3640
 від 20.02.18","м. Кропивницький вул. Глинки, 1 (на території закладу)",48.50793300000001,32.262316999999996,ЗОШ № 32,яблуня діам. 20-30 см,7,,,0,,,"м. Кропивницький вул. Глинки, 1"
"№ 3641
 від 20.02.18","м. Кропивницький вул. Волкова, 28, корп. 2",48.4983198,32.225403299999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос - 20-25 см,2,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 28, корп. 2"
"№ 3641
 від 20.02.18","м. Кропивницький вул. Волкова, 28, корп. 2",48.4983198,32.225403299999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,берест діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 28, корп. 2"
"№ 3642
 від 20.02.18","м. Кропивницький вул. Кропивницького, 80",48.50793300000001,32.262316999999996,КП «ЖЕО № 2» Міської ради міста Кропивницького,верба плакуча діам. 70-75 см,1,№ 735/03-01-06 від 15.03.18,"№ 17, 2018",1,№ 735/03-01-06,15.03.18,"м. Кропивницький вул. Кропивницького, 80"
"№ 3643
 від 20.02.18","м. Кропивницький вул. Поповича, 7-б",48.524288,32.2580419,гр. Ткаченко Н.А.,ясен діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Поповича, 7-б"
"№ 3644
 від 20.02.18","м. Кропивницький вул. Володі Дубініна, 9",48.4733059,32.3024684,гр. Губерт С.Ф.,акація діам. 30-35 см,1,№ 735/03-01-06 від 15.03.18,"№ 17, 2018",1,№ 735/03-01-06,15.03.18,"м. Кропивницький вул. Володі Дубініна, 9"
"№ 3645
 від 20.02.18","м. Кропивницький ДНЗ № 43 «Горобинка» вул. Васнецова, 4",48.5193482,32.288723,МЧС,вишня діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький ДНЗ № 43 «Горобинка» вул. Васнецова, 4"
"№ 3645
 від 20.02.18","м. Кропивницький ДНЗ № 43 «Горобинка» вул. Васнецова, 4",48.5193482,32.288723,МЧС,бузок діам. 5-10 см,1,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький ДНЗ № 43 «Горобинка» вул. Васнецова, 4"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Добровольського, 4",48.5358931,32.273754600000004,КП «Благоустрій» МРМК»,тополя діам. 60-65 см,1,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 4"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Доброволського, 6",48.536776,32.2726048,КП «Благоустрій» МРМК»,акація діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Доброволського, 6"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Доброволського, 6",48.536776,32.2726048,КП «Благоустрій» МРМК»,тополя діам. 40-+45 см,1,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Доброволського, 6"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Добровольського, 8",48.5370081,32.2721423,КП «Благоустрій» МРМК»,тополя діам. 55-65 см,5,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 8"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Добровольського, 9",48.536447499999994,32.271429,КП «Благоустрій» МРМК»,тополя діам. 60-70 см,6,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 9"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Добровольського, 13, біля кафе «Ребро»",48.5372227,32.2692329,КП «Благоустрій» МРМК»,тополя діам. 55-60 см,4,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 13, біля кафе «Ребро»"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Добровольського, 17",48.53765720000001,32.268722600000004,КП «Благоустрій» МРМК»,тополя діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 17"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Добровольського, 18",48.5379533,32.271071899999995,КП «Благоустрій» МРМК»,тополя діам. 45-55 см,4,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 18"
"№ 3646
 від 20.02.18","м. Кропивницький вул. Добровольського, 20",48.5380664,32.2701549,КП «Благоустрій» МРМК»,тополя діам. 35-50 см,2,№ 818/03-01-06 від 26.03.18,,0,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Добровольського, 20"
"№ 3647
 від 27.02.18","м. Кропивницький вул. Соборна, 7-а",48.49921759999999,32.249062800000004,Управління Статистики,акація діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Соборна, 7-а"
"№ 3647
 від 27.02.18","м. Кропивницький вул. Соборна, 7-а",48.49921759999999,32.249062800000004,Управління Статистики,шовковиця діам. 30-35 см,2,,,0,,,"м. Кропивницький вул. Соборна, 7-а"
"№ 3647
 від 27.02.18","м. Кропивницький вул. Соборна, 7-а",48.49921759999999,32.249062800000004,Управління Статистики,вишня діам. 15-20 см,1,,,0,,,"м. Кропивницький вул. Соборна, 7-а"
"№ 3647
 від 27.02.18","м. Кропивницький вул. Соборна, 7-а",48.49921759999999,32.249062800000004,Управління Статистики,липа діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Соборна, 7-а"
"№ 3647
 від 27.02.18","м. Кропивницький вул. Соборна, 7-а",48.49921759999999,32.249062800000004,Управління Статистики,тополя діам. 50-55 см,1,,,0,,,"м. Кропивницький вул. Соборна, 7-а"
"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.493637899999996,32.2091866,Управління освіти МРМК,вишня діам. 15-20 см,1,,,0,,,"м. Кропивницький вул. Космонавта Попова, 28/20"
"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.493637899999996,32.2091866,Управління освіти МРМК,акація діам. 20-25 см,1,,,0,,,"м. Кропивницький вул. Космонавта Попова, 28/20"
"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.493637899999996,32.2091866,Управління освіти МРМК,береза діам. 15-20 см,1,,,0,,,"м. Кропивницький вул. Космонавта Попова, 28/20"
"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.493637899999996,32.2091866,Управління освіти МРМК,абрикос діам. 35-40 см,1,,,0,,,"м. Кропивницький вул. Космонавта Попова, 28/20"
"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.493637899999996,32.2091866,Управління освіти МРМК,горобина діам. 10-15 см,1,,,0,,,"м. Кропивницький вул. Космонавта Попова, 28/20"
"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.493637899999996,32.2091866,Управління освіти МРМК,клен діам. 20-30 см,3,,,0,,,"м. Кропивницький вул. Космонавта Попова, 28/20"
"№ 3649
 від 07.03.18","м. Кропивницький вул. Михайлівська, 36-а (між під’їздами № 3 та № 4)",48.509164,32.272615,КП «ЖЕО № 2» Міської ради міста Кропивницького,акація діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Михайлівська, 36-а"
"№ 3649
 від 07.03.18","м. Кропивницький вул. Тараса Карпи, 128",48.50397589999999,32.2776762,КП «ЖЕО № 2» Міської ради міста Кропивницького,акація діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Тараса Карпи, 128"
"№ 3649
 від 07.03.18","м. Кропивницький вул. Тараса Карпи, 128",48.50397589999999,32.2776762,КП «ЖЕО № 2» Міської ради міста Кропивницького,тополя діам. 55-60 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Тараса Карпи, 128"
