act_number,tree_andress,tree_cut_requester,tree_characteristics,number,date,cutting_act
"№ 3608
 від 09.01.18","вул. Генерала Родимцева, 94 (за будинком)",КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 15-20 см,1,№ 328/03-01-06 від 16.02.18,
"№ 3609
 від 09.01.18","вул. Героїв України, 12, корп. 5 (позаду під'їзду № 3)",КП «ЖЕО № 4» Міської ради міста Кропивницького,тополя діам. 30-35 см,1,№ 328/03-01-06 від 16.02.18,
,"вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",,вишня діам. 20-25 см,5,№ 328/03-01-06 від 16.02.18,
,"вул. Героїв України, 12, корп. 5 (з боку під'їзду № 6)",,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,
,"вул. Пацаєва, 12, корп. 2",,акація діам. 65-70 см,1,№ 328/03-01-06 від 16.02.18,
"№ 3610
 від 09.01.18",на перехресті вулиць Верхньої Биковської та Великої Перспективної,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
"№ 3611
 від 09.01.18","вул. Миколи Левитського (між будинками
 № 1-а та № 1/49)",КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 75-80 см,1,№ 933/03-01-06 від 06.04.18,
,просп. Винниченка (уздовж дороги між будинками № 32 та кафе «Старий круг»),,тополя діам. 65-70 см,1,№ 933/03-01-06 від 06.04.18,
"№ 3612
 від 09.01.18",вул. Михайлівська (біля обласного центру планування сім'ї та репродукції людини),КП «Благоустрій» Міської ради міста Кропивницького»,берест діам. 60-65 см,1,№ 345-в від 20.01.18,"№ 11, 2018"
"№ 3613
 від 09.01.18",вул. Петропавлівська (уздовж дороги біля будинку № 5),гр. Сирота О.М.,акація діам. 70-75 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018"
"№ 3614
 від 09.01.18","вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,12,,
,,,клен діам. 30-60 см,14,,
,,,верба плакуча діам. 50-60 см,3,,
,,,тополя пірамідальна діам. 60-70 см,3,,
"№ 3615
 від 09.01.18","вул. Вокзальна, 39-ф",ПП «Босфор-Люкс»,тополя діам. 70-75 см,1,,
"№ 3616
 від 18.01.18","вул. Юрія Краснокутського, 1-а",КП «ЖЕО № 1» Міської ради міста Кропивницького,клен діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
,,,клен діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
"№ 3617
 від 18.01.18","вул. Будівельників, 1-а",КП «ЖЕО № 1» Міської ради міста Кропивницького,сосна діам. 30-35 см,1,№ 345-в від 20.01.18,"№ 11, 2018"
"№ 3618
 від 18.01.18","вул. Варшавська, 2-б (між під. № 5 та № 6)",КП «ЖЕО № 1» Міської ради міста Кропивницького,горіх діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
"№ 3619
 від 18.01.18",вул. Декабристів (у дворі будинків № 23-а та 23-б),КП «ЖЕО № 1» Міської ради міста Кропивницького,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 29, 2018"
"№ 3620
 від 18.01.18","вул. Кропивницького, 80 (позаду під'їзду № 1)",КП «ЖЕО № 2» Міської ради міста Кропивницького,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,
"№ 3621
 від 18.01.18","вул. Євгена Тельнова, 2, корп. 2 (навпроти під'їзду № 3)",КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 20-30 см,8,,
"№ 3622
 від 18.01.18","вул. Волкова, 20, корп. 1",КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018"
,,,горіх діам. 85-90 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018"
,,,горіх діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018"
"№ 3623
 від 18.01.18","вул. Волкова, 14, корп. 1",,вишня діам. 10-15 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018"
,,,вишня діам. 20-25 см,3,№ 933/03-01-06 від 06.04.18,"№ 20, 2018"
,,,тополя діам. 60-65 см,2,№ 933/03-01-06 від 06.04.18,"№ 20, 2018"
"№ 3624
 від 18.01.18","вул. Бєляєва,7, корп. 3 (за будинком)",КП «ЖЕО № 3» Міської ради міста Кропивницького,береза діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
"№ 3625
 від 18.01.18","вул. Олексія Волохова,9/1 (у дворі біля дитячого майданчика)",КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 15-20 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018"
"№ 3626
 від 18.01.18","просп. Перемоги, 14 (за будинком)",ОСББ «Перемоги 14-Ковалівка»,вишня діам. 10-15 см,7,,
,,,слива діам. 10-15 см,1,,
"№ 3627
 від 18.01.18","пров. Кінний, 3 (на території закладу)",ДНЗ № 73 «Червона квіточка»,груша діам. 15-20 см,1,,
,,,абрикос діам. 25-30 см,1,,
,,,тополя діам. 80-85 см,1,,
"№ 3628
 від 18.01.18","вул. Романа Майстернюка, 7 (уздовж дороги)",гр. Фіцуліна В.Г.,горіх діам. 50-55 см,1,,
"№ 3629
 від 18.01.18","вул. Волкова, 26, корп. 1",КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 45-50 см,2,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
"№ 3630
 від 23.01.18","вул. Євгена Тельнова, 4 (з боку під. № 1)",КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 25-30 см,1,,
"№ 3631
 від 23.01.18","вул. Гагаріна, 48/12",гр. Лобанова Л.А.,акація діам. 40-45 см,1,"№ 749-Л
 від 27.02.18",
"№ 3632
 від 23.01.18","вул. Олега Ольжича (уздовж дороги біля буд. № 4),",КП «Благоустрій» МРМК»,клен діам. 70-75 см,1,,
,,,шовковиця діам. 35-40 см,1,,
,(уздовж дороги біля ДНЗ № 54),,тополя діам. 65-75 см,6,,
,,,акація діам. 30-35 см,1,,
,,,клен діам. 30-35 см,1,,
,на перехресті біля буд. № 38,,тополя діам. 30-35 см,1,,
"№ 3633
 від 30.01.18","вул. Генерала Шумілова, 30",ЗОШ № 7,акація діам. 60-70 см,6,,
,,,шовковиця діам. 30-35 см,1,,
,,,шовковиця 3 діам. 20-30 см,1,,
,,,шовковиця 2 діам. 20-30 см,1,,
"№ 3634
 від 30.01.18","між будинками по вул. Шатила, 3 та Вокзальною, 64",КП «Водоканал»,липа діам. 30-40 см,1,"№ 345-В
 від 30.01.18","№ 7, 2018"
"№ 3635
 від 13.02.18",вул. Олександрійське шосе (біля вїзду до гаражного кооперативу),Голова гаражного кооперативу «Віраж» Водотика А.М.,дуб діам. 40-45 см,1,,
"№ 3636
 від 13.02.18","вул. Добровольського, 3 (навпроти під'їзду № 3)",,клен діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,
,,,яблуня діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,
"№ 3637
 від 13.02.18","вул. Шатила , 3 (біля в'їзду у двір)",КП «ЖЕО № 3» Міської ради міста Кропивницького,клен діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 29, 2018"
"№ 3638
 від 13.02.18",вул. Гоголя (уздовж дороги біля будинку № 63),ГО «Озеленення Кропивницький»,клен діам. 35-40 см,1,№ 402/03-01-06 від 23.02.18,
"№ 3639
 від 13.02.18","вул. Архангельська, 34 (у дворі будинку)",гр. Наконечна Н.В.,акація діам. 30-35 сс,1,№ 933/03-01-06 від 06.04.18,"№ 29, 2018"
"№ 3640
 від 20.02.18","вул. Глинки, 1 (на території закладу)",ЗОШ № 32,яблуня діам. 20-30 см,7,,
"№ 3641
 від 20.02.18","вул. Волкова, 28, корп. 2",КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос - 20-25 см,2,№ 818/03-01-06 від 26.03.18,"№ 20, 2018"
,,,берест діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018"
"№ 3642
 від 20.02.18","вул. Кропивницького, 80",КП «ЖЕО № 2» Міської ради міста Кропивницького,верба плакуча діам. 70-75 см,1,№ 735/03-01-06 від 15.03.18,"№ 17, 2018"
"№ 3643
 від 20.02.18","вул. Поповича, 7-б",гр. Ткаченко Н.А.,ясен діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018"
"№ 3644
 від 20.02.18","вул. Володі Дубініна, 9",гр. Губерт С.Ф.,акація діам. 30-35 см,1,№ 735/03-01-06 від 15.03.18,"№ 17, 2018"
"№ 3645
 від 20.02.18","ДНЗ № 43 «Горобинка» вул. Васнецова, 4",МЧС,вишня діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,
,,,бузок діам. 5-10 см,1,№ 818/03-01-06 від 26.03.18,
"№ 3646
 від 20.02.18","вул. Добровольського, 4",КП «Благоустрій» МРМК»,тополя діам. 60-65 см,1,№ 818/03-01-06 від 26.03.18,
,"вул. Доброволського, 6",,акація діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018"
,,,тополя діам. 40-+45 см,1,№ 818/03-01-06 від 26.03.18,
,"вул. Добровольського, 8",,тополя діам. 55-65 см,5,№ 818/03-01-06 від 26.03.18,
,"вул. Добровольського, 9",,тополя діам. 60-70 см,6,№ 818/03-01-06 від 26.03.18,
,"вул. Добровольського, 13, біля кафе «Ребро»",,тополя діам. 55-60 см,4,№ 818/03-01-06 від 26.03.18,
,"вул. Добровольського, 17",,тополя діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,
,"вул. Добровольського, 18",,тополя діам. 45-55 см,4,№ 818/03-01-06 від 26.03.18,
,"вул. Добровольського, 20",,тополя діам. 35-50 см,2,№ 818/03-01-06 від 26.03.18,
"№ 3647
 від 27.02.18","вул. Соборна, 7-а",Управління Статистики,акація діам. 30-35 см,1,,
,,,шовковиця діам. 30-35 см,2,,
,,,вишня діам. 15-20 см,1,,
,,,липа діам. 30-35 см,1,,
,,,тополя діам. 50-55 см,1,,
"№ 3648
 від 27.02.18","вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",Управління освіти МРМК,вишня діам. 15-20 см,1,,
,,,акація діам. 20-25 см,1,,
,,,береза діам. 15-20 см,1,,
,,,абрикос діам. 35-40 см,1,,
,,,горобина діам. 10-15 см,1,,
,,,клен діам. 20-30 см,3,,
"№ 3649
 від 07.03.18","вул. Михайлівська, 36-а (між під’їздами № 3 та № 4)",КП «ЖЕО № 2» Міської ради міста Кропивницького,акація діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
,"вул. Тараса Карпи, 128",,акація діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
,,,тополя діам. 55-60 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
,"вул. Гагаріна, 18 (уздовж дороги біля будинку)",,клен діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
"№ 3650
 від 07.03.18","вул. Євгена Тельнова, 5 (позаду під. № 1)",КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня діам. 20-25 см,1,№ 818/03-01-06 від 26.03.18,"№ 32, 2018"
"№ 3651
 від 07.03.18","вул. Євгена Тельнова, 8, корп. 6",КП «ЖЕО № 3» Міської ради міста Кропивницького,в'яз діам. 10-15 см,1,,
,,,вишня діам. 20-25 см,1,,
,,,яблуня діам. 20-25 см,1,,
"№ 3652
 від 07.03.18",Лелеківський лісопарк,КП «Благоустрій» МРМК»,сосна діам. 15-25 см,8,,
,,,акація - діам. 20-25 см,1,,
"№ 3653
 від 07.03.18","вул. Академіка Корольова, 7",КП «Благоустрій» МРМК»,клен діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018"
"№ 3654
 від 07.03.18","вул. Володимирська, 54/35",КП «Благоустрій» МРМК»,каштан діам. 35-40 см,1,№ 735/03-01-06 від 15.03.18,"№ 17, 2018"
№ 3655 від 22.03.18,"вул. Гагаріна, 3-а (біля гаражів навпроти під. № 3)",КП «ЖЕО № 2» Міської ради міста Кропивницького,ясень діам. 35-40 см,1,№ 933/03-01-06 від 06.04.18,
№ 3656 від 22.03.18,"вул. Євгена Тельнова, 9 корп. 2",КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 15-20 см,2,,
№ 3657 від 22.03.18,"вул. Генерала Жадова, 28, корп. 2 (біля під'їзду № 5)",ОСББ «Гарант-28»,шовковиця діам. 25-30 см,,,
"№ 3658
 від 22.03.18",вул. Архітектора Паученка (уздовж дороги буд. № 46),КП «Благоустрій» МРМК»,липа діам. 35-40 см,1,,
,вул. Архітектора Паученка (уздовж дороги буд. № 60),,акація діам. 40-45 см,1,,
,вул. Архітектора Паученка (уздовж дороги буд. № 66),,липа діам. 45-50 см,2,,
,вул. Архітектора Паученка (уздовж дороги буд. № 68),,липа діам. 20-25 см,1,,
,вул. Архітектора Паученка (уздовж дороги буд. № 80),,клен діам. 40-45 см,1,,
,вул. Архітектора Паученка (уздовж дороги буд. № 88),,акація діам. 40-45 см,1,,
,вул. Архітектора Паученка (уздовж дороги між буд. № 104 та 106),,шовковиця діам. 35-40 см,1,,
,вул. Архітектора Паученка (уздовж дороги буд. № 115),,липа діам. 25-30 см,1,,
,"вул. Олександрійська, 29",,акація діам. 50-55 см,1,,
,"вул. Єгорова, 5",,акація діам. 125-130 см,1,,
,"вул. Єгорова, 45",,акація діам. 35-40 см,,,
,"вул. Карабінерна, 30",,клен діам. 25-30 см,1,,
,,,акація діам. 25-30 см,2,,
,"вул. Карабінерна, 25",,клен діам. 35-40 см,1,,
,"вул. Покровська, 47",,акація діам. 30-35 см,1,,
,сквер ім. Олександра Кондакова,,абрикос діам. 25-30 см,1,,
,,,тополя діам. 30-35,2,,
,,,береза діам. 20-25 см,1,,
"№ 3659
 від 02.04.18","вул. Віктора Чміленка, 109-а (у дворі)",КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 60-65 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018"
"№ 3660
 від 02.04.18","вул. Казанська, 13",Управління освіти,клен діам. 55-60 см,1,,
"№ 3661
 від 02.04.18","пров. Херсонський, 4",КП «Благоустрій» МРМК»,липа діам. 30-35 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018"
"№ 3662
 від 02.04.18",вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),ГУ ЖКГ МР МК,верба плакуча 3 діам. 35-40 см,1,,
,,,тополя діам. 55-60 см,1,,
,,,верба плакуча діам. 30-40 см,2,,
,,,клен 2 діам. 20-25 см,2,,
,,,клен діам. 15-25 см,19,,
,,,берест діам. 28-30 см,1,,
,,,верба плакуча діам. 15-20 см,1,,
,,,верба плакуча діам. 55-60 см,1,,
,,,клен діам. 15-20 см,2,,
,,,берест 2 діам. 30-35 см,2,,
,,,верба плакуча діам. 15-20 см,2,,
,,,клен 3 діам. 35-40 см,1,,
,,,клен діам. 45-50 см,1,,
,,,клен діам. 30-35 см,1,,
,,,берест діам. 50-55 см,3,,
,,,клен 2 діам. 25-30 см,2,,
,,,клен 3 діам. 30-35 см,1,,
,,,клен діам. 30-35 см,1,,
,,,клен 4 діам. 50-40 см,1,,
"№ 3663
 від 02.04.18","вул. Короленка, 38 (збоку будинку)",КП «ЖЕО № 1» Міської ради міста Кропивницького,клен 4 діам. 30-35 см,1,№ 933/03-01-06 від 06.04.18,
"№ 3664
 від 11.04.18","вул. Яновського, 62",,горіх діам. 40-45 см од.,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Полтавська, 81",,вишня діам. 20-25 см,1,№ 1017/03-01-06 від 17.04.18,
,,,слива діам. 30-35 см,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Генерала Родимцева, 96",,тополя діам. 55-60 см,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Михайлівська, 9",,вишня діам. 20-25 см,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Комарова, 30",,горіх діам. 30-35 см,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Комарова, 13",,береза діам. 40-45 см,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Героїв України, 8",,акація діам. 35-40 см,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Юрія Коваленка, 25/19, корп. 2",,абрикос - діам. 30-35 см,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Вокзальна, 4",,клен діам. 55-60 см,1,№ 1017/03-01-06 від 17.04.18,
,"пров. Ковалівський, 13",,горобина діам. 20-25 см,1,№ 1017/03-01-06 від 17.04.18,
,,,горіх діам. 35-40 см,1,№ 1017/03-01-06 від 17.04.18,
,"вул. Тараса Карпи, 128",,акація діам. 35-40 см,1,№ 1017/03-01-06 від 17.04.18,
"№ 3665
 від 11.04.18","вул. Бобринецький шлях, 109",,тополя діам. 85-95 см,3,№ 1017/03-01-06 від 17.04.18,"№ 29, 2018"
,,,верба плакуча діам. 95-100 см,1,№ 1017/03-01-06 від 17.04.18,"№ 29, 2018"
"№ 3666
 від 11.04.18","вул. Кавалерійська, 17/19",Кіровоградський обласний військовий комісаріат,тополя діам. 85-90 см,2,,
,,,каштан діам. 40-45 см,1,,
,,,верба плакуча діам. 50-55 см,1,,
"№ 3667
 від 11.04.18","вул. Короленка, 58 (на території)",Кіровоградський обласний госпіталь для ветеранів війни,сосна діам. 20-30 см,9,,
"№ 3668
 від 11.04.18","вул. Добровольського, 1 (парк «Авіаторів»)",ЛАНАУ,ясен діам. 30-35 см,1,,
,,,клен діам. 35-40 см,1,,
,авіаційний загін,,клен діам. 55-60 см,1,,
,,,яблуня діам. 45-50 см,1,,
,авіаційно-технічна база,,тополя діам. 50-55 мм,,,
"№ 3669
 від 11.04.18","вул. Волкова, 18-а (на території закладу)",ДНЗ № 17 «Орлятко»,вишня діам. 20-25 см,1,,
"№ 3670
 від 11.04.18","вул. Шевченка, 41-а ДНЗ № 2 «Ятранчик»",МЧС Міської ради,ялина діам. 20-25 см,1,,
,"вул. Комарова, 60 ДНЗ № 22 «Оленка»",,черешня діам. 25-30 см,1,,
,"вул. Таврійська, 29/32 (на території КЗ НВО № 1 «Перлинка",,акація діам. 35-40 см,1,,
"№ 3671
 від 11.04.18","вул. Велика Перспективна, 11/11, корп. 7",,яблуня діам. 30-35 см,1,№ 1017/03-01-06 від 17.04.18,
"№ 3672
 від 11.04.18","вул. Яновського, 54",,тополя діам. 40-45 см,1,№ 1017/03-01-06 від 17.04.18,"№ 32, 2018"
"№ 3673
 від 11.04.18","вул. Василя Нікітіна, 23-г (біля під. № 1 та навпроти під. № 2 та № 3)",ПП «Кіровоградська компанія інвестиційного булівництва «Кіровоградінвестбуд»,тополя діам. 45-55 см,2,,
"№ 3674
 від 11.04.18","вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",Управління освіти Міської ради,тополя діам. 60-65 см,1,,
,,,клен діам. 50-55 см,2,,
,,,клен 2 діам. 70-75 см,1,,
,,,абрикос 2 діам. 20-25 см,1,,
,,,абрикос діам. 35-40 см,1,,
,,,берест діам. 15-20 см,1,,
,,,горобина діам. 30-35 см,1,,
