act_number,tree_andress,tree_cut_requester,tree_characteristics,number,date,cutting_act
,,,яблуня діам. 15-20 см,1,,
"№ 3675
 від 11.04.18","вул. Волкова, 3-в",ПП «Інтелтех-Л А»,горіх діам. діам. 30-35 см,1,,
,,,акація діам. 60-65 см,1,,
,,,клен діам. 60-65 см,1,,
,,,берест 3 діам. 25-30 см,1,,
,,,берест діам. 20-25 см,1,,
,,,верба плакуча діам. 40-45 см,1,,
,,,верба плакуча діам. 60-65 см,1,,
,,,верба плакуча діам. 55-60 см,1,,
,,,клен діам. 20-25 см,1,,
,,,горіх 2 діам. 25-30 см,1,,
"№ 3676
 від 11.04.18","вул. Курганна, 2-а (на території)",ДНЗ № 65 «Лукомор'я»,акація діам. 40-45 см,1,,
,,,тополя діам. 60-65 см,1,,
,,,абрикос діам. 20-25 см,1,,
,,,черешня діам. 20-25 см,1,,
,,,горобина діам. 20-25 см,1,,
"№ 3677
 від 11.04.18","вул. Яновського, 62-а (на території)",ДНЗ № 70 «Оленка»,груша діам. 20-25 см,1,,
,,,черешня діам. 30-35 см,1,,
,,,черемха діам. 25-30 см,1,,
,,,клен діам. 50-55 см,1,,
,,,абрикос діам. 35-40 см,1,,
,,,слива діам. 20-25 см,1,,
,,,абрикос діам. 25-30 см,1,,
"№ 3678
 від 11.04.18","вул. Херсонська, 115/6",гр. Григорвш А.С.,акація діам. 50-65,3\6,№ 1017/03-01-06 від 17.04.18,"№ 29, 2018"
"№ 3679
 від 11.04.18","вул. Тараса Карпи, 76",Кіровоградське обласне управління лісового та мисливського господарства,ялина діам. 20-25 см,1,,
"№ 3680
 від 11.04.18","вул. Преображенська, 103 (на території ДНЗ «Перлинка»)",Управління освіти Міської ради,акація діам. 70-80 см,3,,
"№ 3681
 від 17.04.18","вул. Андріївська, навпроти ТОВ «Енерогобудпроект»",,тополя,1,№ 1017/03-01-06 від 17.04.18,"№ 32, 2018"
"№ 3682
 від 17.04.18","вул. Героїв України, 14, корп. 1 (позаду будинку)",КП «Благоустрій» МРМК»,абрикос діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
"№ 3683
 від 17.04.18","вул. Євгена Тельнова, 11/31 (позаду під'їзду № 4)",КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос діам. 25-30 см,3,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
"№ 3684
 від 17.04.18","вул. Академіка Тамма, 4-а",ДНЗ № 63,акація 2 діам. 50-55 см,1,,
,,,горіх діам. 50-55 см,1,,
,,,клен діам. 40-45 см,1,,
"№ 3685
 від 17.04.18","просп. Університетський, 27",,абрикос діам.,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
,,,верба плакуча -,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
,"просп. Університетський, 29",,дуб,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
"№ 3686
 від 17.04.18","вул. Архітектора Паученка, 66",ОСББ «П'ятихатки 2-66»,акація діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,
,,,яблуня діам. 20-25 см,3,№ 1050/03-01-06 від 20.04.18,
,,,клен 2 діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,
,,,яблуня діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,
,,,шовковиця діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,
"№ 3687
 від 17.04.18","вул. Арсенія Тарковського, уздовж дороги біля будинку № 76",гр. Владимирська А.М.,клен діам. 60-65 см,1,№ 1050/03-01-06 від 20.04.18,"№ 29, 2018"
"№ 3688
 від 17.04.18","вул. Вокзальна, 18, корп. 2",деп. Розгачов Р.О.,горобина діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
,"вул. Вокзальна, 28",,верба плакуча діам. 75-80 см,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
"№ 3689
 від 17.04.18","вул. Добровольського, 11",КП «Благоустрій» МРМК»,береза діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Добровольського, 18",,берест діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,сквер «Слави»,,береза діам. 15-20 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,,,тополя діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Карабінерна, 30",,акація діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,,,липа діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Віктора Чміленка, 71",,липа діам. 20-25 см,2,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Вокзальна, 28",,"тополя діам. 30-,5 см",1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Преображенська, 8",,ялина діам. 15-20 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Тараса Карпи, між № 60 та 62",,клен діам. 40-45 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Юрія Олефіренка, 14-а",,черешня діам. 35-40 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Короленка, 40",,акація діам. 45-50 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Гоголя, 85",,бузок (кущ),1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
"№ 3690
 від 25.04.18","вул. Миру, 17-а",КП «ЖЕО № 1» Міської ради міста Кропивницького,верба плакуча діам. 60-65 см,1,№ 1357/03-01-06 від 22.05.18,"№ 34, 2018"
,,,берест діам. 20-25 см,1,№ 1357/03-01-06 від 22.05.18,"№ 34, 2018"
"№ 3691
 від 25.04.18","вул. Гоголя, 122-а (у дворі)",КП «ЖЕО № 3» Міської ради міста Кропивницького,шовковиця діам. 50-55 см,1,№ 1357/03-01-06 від 22.05.18,"№ 32, 2018"
"№ 3692
 від 25.04.18","вул. Островського, 2, корп. 2 (з боку
 вул. Островського)",ПП Шмідт В.В.,тополя діам. 30-45 см,3,,
"№ 3693
 від 25.04.18","вул. Лінія, 10, буд. 56",КП «ЖЕК № 9» Міської ради міста Кропивницького,черешня 2 діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,
,"вул. Лінія, 1, буд. 3",,горіх діам. 35-40 см,1,№ 1357/03-01-06 від 22.05.18,
,"вул. Лінія, 9, буд. 41",,горіх діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3694
 від 25.04.18","вул. Вокзальна, 4 (уздовж дороги)",КП «Благоустрій» МРМК»,акація діам. 80-85 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3695
 від 25.04.18","вул. Віктора Чміленка, 94 (уздовж дороги)",КП «Благоустрій» МРМК»,клен діам. 60-65 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3696
 від 04.05.18","вул. Київська, уздовж дороги біля буд. № 5",КП «Благоустрій» МРМК»,тополя діам. 30-35 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 7",,тополя діам. 30-35 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 10",,клен діам. 30-35 см,1,,
,,,акація діам. 50-55 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 11/3",,тополя діам. 30-35 см,2,,
,"вул. Київська, уздовж дороги біля буд. № 12",,липа діам. 30-35 см,1,,
,"вул. Київська, навпроти входу до коледжу",,акація діам. 55-60 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 18",,клен діам. 45-50 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 28",,акація діам. 50-55 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 32",,акація діам. 55-60 см,2,,
,"вул. Київська, уздовж дороги біля буд. № 34",,акація діам. 60-65 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 36",,клен діам. 20-25 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 42",,"акація, діам. 30-35 см",2,,
,"вул. Київська, уздовж дороги біля буд. № 47",,клен діам. 35-40 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 49",,клен діам. 35-40 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 51",,клен діам. 55-60 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 53",,клен діам. 50-55 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 55",,клен діам. 30-35 см,2,,
,,,клен діам. 55-60 см,1,,
,уздовж дороги на розі з вул. Олени Бур'янової,,акація діам. 35-40 см,2,,
,уздовж дороги від мосту до вул. Кременчуцька (права сторона),,клен діам. 25-35 см,7,,
,уздовж дороги від мосту до вул. Кременчуцька (ліва сторона),,клен діам. 30-40 см,7,,
,"вул. Київська, уздовж дороги біля буд.
 № 61/64",,клен діам. 45-50 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 62",,клен діам. 30-35 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 65",,клен діам. 35-40 см,2,,
,"вул. Київська, уздовж дороги біля буд.
 № 65/31",,клен діам. 70-75 см,3,,
,,,клен діам. 35-40 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 69",,клен діам. 30-35 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 70",,клен діам. 30-35 см,2,,
,"вул. Київська, уздовж дороги біля буд.
 № 71",,клен діам. 25-35 см,5,,
,"вул. Київська, уздовж дороги біля буд.
 № 74/59",,клен діам. 60-65 см,2,,
,"вул. Київська, уздовж дороги біля буд.
 № 76",,клен діам. 55-60 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 78",,клен діам. 20-25 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 80",,клен діам. 40-45 см,2,,
,"вул. Київська, уздовж дороги біля буд.
 № 82",,клен діам. 55-65 см,3,,
,"вул. Київська, уздовж дороги біля буд.
 № 83",,клен діам. 50-55 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 84",,клен діам. 35-45 см,4,,
,"вул. Київська, уздовж дороги біля буд.
 № 85",,клен діам. 60-65 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 85-а",,клен діам. 60-65 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 89/43",,акація діам. 80-85 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 92 та № 94",,клен діам. 35-45 см,3,,
,"вул. Київська, уздовж дороги біля буд.
 № 96",,клен діам. 25-30 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 100",,клен діам. 30-40 см,2,,
,"вул. Київська, уздовж дороги біля буд.
 № 102/48",,клен діам. 50-55 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 108",,клен діам. 20-30 см,3,,
,,,клен діам. 35-45 см,2,,
,"вул. Київська, уздовж дороги біля буд.
 № 110",,клен діам. 60-65 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 112",,клен діам. 35-40 см,1,,
,"вул. Київська, уздовж дороги біля буд.
 № 118/57",,клен діам. 60-65 см,1,,
"№ 3697
 від 04.05.18","вул. Яновського, 60 (на території Кіровоградської міської станції юних техніків)",Управління освіти Міської ради,клен діам. 60-65 см,1,,
"№ 3698
 від 04.05.18","вул. Преображенська, 101 (на території ДНЗ № 37 «Ластівка»)",Управління освіти Міської ради,верба плакуча діам. 75-80 см,1,,
"№ 3699
 від 04.05.18","вул. Бєляєва, 29, корп. 2 (під’їзд № 5)",КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 50-55 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3670
 від 04.05.18","вул. Волкова, 28, корп. 4 (між під. № 4 та № 5)",КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос діам. 15-20 см,2,,
,,,яблуня діам. 10-15 см,,,
,,,груша діам. 10-15 см,1,,
"№ 3701
 від 04.05.18","пров. Миргородський, 23 (навпроти під. № 1)",КП «ЖЕО № 3» Міської ради міста Кропивницького,верба плакуча діам. 95-100 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3702
 від 04.05.18","вул. Академіка Тамма, 5",КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 40-45 см,1,№ 1357/03-01-06 від 22.05.18,
,,,береза діам. 15-20 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3703
 від 04.05.18","вул. Генерала Родимцева, 85 (біля дитячого майданчика)",ОСББ «Горизонт-85»,тополя діам. 80-95 см,3,№ 1357/03-01-06 від 22.05.18,
№ 3704 від 04.05.18,"вул. Академіка Тамма, біля будинку № 4",ПП «Сервіс Кіровоград»,акація діам. 25-45 см,22,,
,,,берест діам. 20-25,2,,
,,,берест діам. 35-45 см,3,,
,,,клен діам. 30-35 см,3,,
№ 3705 від 04.05.18,"вул. Січових стрільців, 1-а",гр. Коваленко Е.А.,клен діам. 80-85 см,1,,
№ 3706 від 04.05.18,вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),ГУ ЖКГ МР МК,тополя діам. 45-50 см,1,,
,,,тополя діам. 60-70 см,1,,
,,,клен діам. 55-60 см,2,,
,,,клен 3 діам. 55-60 см,1,,
,,,клен 5 діам. 35-60 см,1,,
,,,клен 3 діам. 35-60 см,1,,
,,,клен 4 діам. 45-70 см,1,,
,,,берест 3 діам. 45-60 см,2,,
,,,берест 2 діам. 60-75 см,1,,
,,,берест 2 діам. 55-75 см,2,,
"№ 3707
 від 11.05.18","вул. Комарова, 3 (збоку під. № 1)",ОЖБК,клен діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,
,,,акація діам. 45-50 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3708
 від 11.05.18","вул. Лінія, 6, 30 (ЗОШ № 22)",Управління освіти,черешня діам. 95-100 см,1,,
"№ 3709
 від 11.05.18","вул. Євгена Тельнова, 8, корп. 2 (навпроти під'їзду № 4 та № 2)",КП «ЖЕО № 3» Міської ради міста Кропивницького,черешня діам. 55-65 см,2,№ 1357/03-01-06 від 22.05.18,
"№ 3710
 від 11.05.18","вул. Преображенська, уздовж дороги, біля будинку № 58",гр. Краснюк А.С.,тополя діам. 85-90 см,1,№ 1357/03-01-06 від 22.05.18,
,,,акація діам. 65-70 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3711
 від 11.05.18","вул. Арсенія Тарковського, 68",КП «Благоустрій» МРМК»,акація діам. 65-70 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3712
 від 11.05.18","вул. Шевченка, 21/27 (уздовж дороги по
 вул. Шевченка)",КП «Благоустрій» МРМК»,каштан діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,
,"вул. Арсенія Тарковського, 17 (уздовж дороги)",,акація діам. 85-90 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3713
 від 11.05.18","вул. Михайлівська, 54 (уздовж дороги)",КП «Благоустрій» МРМК»,тополя діам. 65-70 см,1,№ 1357/03-01-06 від 22.05.18,
,"пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",,тополя діам. 50-65 см,2,№ 1357/03-01-06 від 22.05.18,
,,,тополя діам. 45-50 см,2,№ 1357/03-01-06 від 22.05.18,
,,,тополя діам. 75-80 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3714
 від 11.05.18","вул. Карабінерна, 30/79",КП «ЖЕО № 2» Міської ради міста Кропивницького,тополя діам. 55-60 см,1,,
,"вул. Пашутінська, 13 (біля будинку)",,акація діам. 50-55 см,1,,
"№ 3715
 від 11.05.18","просп. Університетський, 11",КЗ «Кіровоградський музичний коледж»,береза діам. 35-40 см,2,,
,,,горобина діам. 10-15 см,1,,
"№ 3716
 від 11.05.18","вул. Євгена Маланюка, 4 (на території музичного коледжу)",КЗ «Кіровоградський музичний коледж»,береза діам. 20-25 см,1,,
"№ 3717
 від 11.05.18","вул. Генерала Жадова, 28, корп. 2",ОСББ «Гарант»,вишня діам. 20-25 см,1,,
"№ 3718
 від 11.05.18","вул. Андрія Матвієнака, 21 (уздовж дороги)",гр. Василевський Є.В.,акація діам. 40-45 см,1,,
"№ 3719
 від 11.05.18","вул. Дворцова, 6/7",ГУ юстиції у Кіровоградській області,каштан діам. 45-50 см,1,,
"№ 3720
 від 11.05.18","вул. Запорозька, 16/2",гр. Полонська М.Г.,абрикос діам. 30-35 см,1,,
,,,шовковиця діам. 35-40 см,1,,
"№ 3721
 від 11.05.18","вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",МЧС Міської ради,тополя діам. 65-70 см,1,,
,,,тополя діам. 40-45 см,1,,
,,,верба діам. 80-85 см,1,,
,,,береза діам. 25-30 см,1,,
"№ 3722
 від 29.05.18","вул. Короленка, сквер «Катюша»",ОКВП «Дніпро-Кіровоград»,береза діам. 40-45 см,1,,
,,,"спірея, кущ",5,,
,,,газон звичайний. 60 м2,60 м2,,
"№ 3723
 від 29.05.18","вул. Євгена Маланюка, уздовж дороги навпроти магазину «Світ»",КП «Благоустрій» МРМК»,тополя діам. 35-40 см,1,,
,"просп. Перемоги, позаду ЗОШ № 20",,клен діам. 75-80 см,1,,
"№ 3724
 від 29.05.18","вул. Будівельників, 1-а",КП «Благоустрій» МРМК»,сосна діам. 30-35 см,1,,
"№ 3725
 від 29.05.18","вул. Велика Перспективна, 1 (на території ГУ НП в Кіровоградській області)",ГУ НП в Кіровоградській області,каштан діам. 65-70 см,1,,
"№ 3726
 від 31.05.18","вул. Автолюбителів, 4, уздовж гаражного кооперативу «Автолюбитель-2» з боку
 вул. Автолюбителів",Гаражний кооператив,тополя діам. 25-30 см,1,,
"№ 3727
 від 31.05.18","вул. Академіка Тамма, 9",КП «ЖЕО № 3» Міської ради міста Кропивницького,липа діам. 30-35 см,1,,
,,,горіх діам. 35-40 см,1,,
,,,абрикос діам. 25-35 см,2,,
,,,абрикос 2 діам. 25-30 см,1,,
,,,,,,
"№ 3729
 від 31.05.18","вул. Соборна, 22-а",КП «ЖЕО № 3» Міської ради міста Кропивницького,верба плакуча діам. 75-80 см,1,,
"№ 3730
 від 31.05.18","вул. Соборна, 23/34",КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 60-65 см,1,,
"№ 3731
 від 31.05.18","вул. Волкова, 14, корп. 2",КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 65-75 см,2,,
"№ 3732
 від 31.05.18","вул. Євгена Тельнова, 2-в",КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 30-35 см,1,,
"№ 3733
 від 31.05.18","вул. Академіка Корольова, 3",ОЖБК,горіх діам. 40-45 см,1,,
"№ 3734
 від 31.05.18","вул. Арсенія Тарковського, 2",КП «ЖЕО № 2» Міської ради міста Кропивницького,черешня діам. 30-35 см,1,,
"№ 3735
 від 31.05.18","вул. Архітектора Паученка, 51/44, уздовж дороги по вул. Архітектора Паученка",КП «ЖЕО № 2» Міської ради міста Кропивницького,акація діам. 40-45 см,1,,
,"вул. Велика Перспективна, 25/34, у дворі уздовж паркану",,тополя діам. 70-75 см,2,,
,"вул. Архангельська, 65/108, уздовж дороги по вул. Архангельській",,клен діам. 65-70 см,1,,
,"вул. Пашутінська, 51-а",,каштан діам. 45-50 см,1,,
"№ 3736
 від 31.05.18","вул. Гагаріна, 7",КП «ЖЕО № 2» Міської ради міста Кропивницького,берест діам. 55-60 см,1,,
